tree, lambdaD, lambdaL, node, sequence
36, 1.05836, 5.517436, b, 12002002020001000000
36, 1.05836, 5.517436, c, 02000100122010021100
37, 0.3635882, 0.4911083, a, 20101111101110112101
37, 0.3635882, 0.4911083, b, 10011011000111002102
37, 0.3635882, 0.4911083, c, 11120001021021011120
38, 0.2709122, 4.099355, a, 01201100120101000000
38, 0.2709122, 4.099355, b, 01120101002001011001
38, 0.2709122, 4.099355, c, 22020200120000000101
39, 0.4151459, 1.164342, a, 00000000111000112100
39, 0.4151459, 1.164342, b, 01001200110000022021
39, 0.4151459, 1.164342, c, 11010010021000011100
40, 0.4285112, 0.9473828, a, 00010101120101001012
40, 0.4285112, 0.9473828, b, 10000002021000111102
40, 0.4285112, 0.9473828, c, 00202200000111110110
41, 2.201372, 2.396571, a, 00010000220000100220
41, 2.201372, 2.396571, b, 21010101010100210010
41, 2.201372, 2.396571, c, 00001222000002221010
42, 1.011413, 1.717664, a, 20000210000210100100
42, 1.011413, 1.717664, b, 00000000101100001021
42, 1.011413, 1.717664, c, 00002211000111020010
43, 0.1208414, 17.43091, a, 20220020000000001000
43, 0.1208414, 17.43091, b, 20220020000020020000
43, 0.1208414, 17.43091, c, 00020002100222020200
44, 0.3866931, 6.127575, a, 20220000020200210200
44, 0.3866931, 6.127575, b, 20020001020200201200
44, 0.3866931, 6.127575, c, 21101200002200002002
45, 1.606637, 2.564718, a, 21100002020001001110
45, 1.606637, 2.564718, b, 12200000000000021000
45, 1.606637, 2.564718, c, 00100000000010200000
46, 2.78576, 2.112272, a, 11120010000000111200
46, 2.78576, 2.112272, b, 00200100000200122100
46, 2.78576, 2.112272, c, 00000010001002010200
47, 0.4333377, 0.9656976, a, 01210001000111100100
47, 0.4333377, 0.9656976, b, 02001010002010200010
47, 0.4333377, 0.9656976, c, 01110110100010011101
48, 0.4822602, 3.303796, a, 10220001000011101010
48, 0.4822602, 3.303796, b, 21020100221221010112
48, 0.4822602, 3.303796, c, 00221002010122010021
49, 0.2243202, 10.83341, a, 20200200200202000200
49, 0.2243202, 10.83341, b, 20220200200222001200
49, 0.2243202, 10.83341, c, 00020220020000202000
50, 0.2780679, 3.001038, a, 10000000002200000210
