tree, lambdaD, lambdaL, node, sequence
49, 3, 2, c, 01000100020020100120
50, 3, 2, a, 10000000011000010000
50, 3, 2, b, 10110001010000200001
50, 3, 2, c, 00001110201001010100
51, 3, 2, a, 02022200002200201002
51, 3, 2, b, 12102001010201010020
51, 3, 2, c, 02000010000000100020
52, 3, 2, a, 02100100102020000100
52, 3, 2, b, 01000110010000001201
52, 3, 2, c, 10010000002200000000
53, 3, 2, a, 00000200020001000010
53, 3, 2, b, 01000001120011000010
53, 3, 2, c, 21000120000002002010
54, 3, 2, a, 00020100010202010000
54, 3, 2, b, 20001220100100011010
54, 3, 2, c, 00002200000101010200
55, 3, 2, a, 22120022000000100000
55, 3, 2, b, 00100002201012000000
55, 3, 2, c, 11200102000101200000
56, 3, 2, a, 22202001000012100002
56, 3, 2, b, 02101002110000110201
56, 3, 2, c, 10020011121000000201
57, 3, 2, a, 22100010000001210101
57, 3, 2, b, 12000220110202010002
57, 3, 2, c, 10011202001012100000
58, 3, 2, a, 00202100000000000101
58, 3, 2, b, 00100100000200001100
58, 3, 2, c, 20100001010200011002
59, 3, 2, a, 00020001210002011000
59, 3, 2, b, 00010210011010000010
59, 3, 2, c, 00001101001100100000
60, 3, 2, a, 02001000100000020020
60, 3, 2, b, 00012000001000110000
60, 3, 2, c, 11002020001010220010
61, 3, 2, a, 10200002020000000100
61, 3, 2, b, 00000000120002001100
61, 3, 2, c, 02000000120000011100
62, 3, 2, a, 10000000000001000210
62, 3, 2, b, 20000100010012002000
62, 3, 2, c, 00100020010000200001
63, 3, 2, a, 00002000001010202100
63, 3, 2, b, 00000200000000002001
63, 3, 2, c, 10000021200100000212
64, 3, 2, a, 10000102000000010011
64, 3, 2, b, 00000201010000200001
64, 3, 2, c, 01000000000010100202
65, 3, 2, a, 00100200000002000220
65, 3, 2, b, 01100010000222001101
65, 3, 2, c, 00222101201210001110
66, 3, 2, a, 02000000000000200110
66, 3, 2, b, 01000102100001210000
66, 3, 2, c, 00002020120121000100
67, 3, 2, a, 01101010221200002200
67, 3, 2, b, 01200021000100010100
67, 3, 2, c, 00011002010000000020
68, 3, 2, a, 01000110121022000002
68, 3, 2, b, 00000200001002100010
68, 3, 2, c, 02000002010100000000
69, 3, 2, a, 20000110101002000020
69, 3, 2, b, 02220200002001020000
69, 3, 2, c, 00000202001010200100
70, 3, 2, a, 00100000202000000100
70, 3, 2, b, 00100001202100120000
70, 3, 2, c, 02020001002021000000
71, 3, 2, a, 00200001100100210100
71, 3, 2, b, 00110021100000002000
71, 3, 2, c, 00200100200000010002
72, 3, 2, a, 22000002120011010100
72, 3, 2, b, 12020002000101020000
72, 3, 2, c, 00000201001101022000
73, 3, 2, a, 02001220020002210211
73, 3, 2, b, 01002011002021002110
73, 3, 2, c, 00200100101010000002
74, 3, 2, a, 01122000200210010010
74, 3, 2, b, 11002001120010000000
74, 3, 2, c, 12000011100021100101
75, 3, 2, a, 10101020100000000120
75, 3, 2, b, 10010100000000010012
75, 3, 2, c, 12010010002200100020
76, 3, 2, a, 01000012000102010010
76, 3, 2, b, 10100101120011001002
76, 3, 2, c, 00020101000020100001
77, 3, 2, a, 00201020011020112000
